id,driver_id,passenger_id,date,rating,cost
1,1,54,2016-04-05,3,1293
2,67,146,2016-01-13,5,2157
3,50,87,2016-05-02,3,1181
4,13,70,2016-05-14,4,2436
5,3,12,2015-12-14,2,1406
6,48,137,2016-06-02,5,1474
7,84,236,2015-05-20,4,2476
8,93,104,2016-08-08,5,1424
9,17,286,2016-03-03,5,2347
10,8,263,2015-12-14,5,2329
11,71,149,2016-01-12,1,2043
12,12,237,2016-08-21,1,2671
13,83,298,2015-05-27,5,1287
14,48,247,2015-09-13,1,2865
15,26,143,2016-06-17,5,2071
16,25,259,2016-05-25,5,2129
17,21,63,2015-08-23,4,2876
18,72,192,2017-01-10,1,2796
19,5,140,2016-02-16,5,1388
20,3,8,2016-02-05,1,2526
21,71,16,2016-10-16,2,1884
22,96,275,2015-03-13,1,1809
23,51,189,2015-05-02,5,2882
24,75,280,2015-11-04,4,1092
25,21,257,2016-05-17,4,2369
26,92,194,2016-12-08,3,2923
27,9,158,2015-03-12,4,2180
28,57,40,2016-03-12,4,1900
29,45,127,2016-02-02,3,2919
30,28,230,2016-10-12,5,2027
31,66,113,2015-07-15,3,1148
32,20,57,2016-06-17,5,1659
33,92,31,2015-12-09,5,2655
34,94,41,2016-05-30,3,1406
35,84,148,2016-12-10,2,2363
36,38,154,2017-02-08,2,2364
37,49,80,2016-04-01,4,1465
38,16,281,2016-06-13,2,1764
39,48,191,2016-06-03,2,1906
40,76,221,2017-01-30,2,2437
41,56,35,2015-10-22,5,1361
42,69,267,2017-01-14,2,2277
43,38,135,2016-11-08,1,2095
44,17,146,2016-03-06,5,2888
45,57,284,2017-01-28,4,1089
46,98,1,2016-06-28,2,2070
47,88,157,2016-05-12,2,1447
48,73,202,2015-06-24,1,1203
49,26,266,2015-11-15,2,2564
50,47,277,2015-10-12,4,1155
51,64,275,2015-07-01,5,2342
52,21,254,2015-11-07,1,1477
53,9,119,2015-04-02,5,1170
54,99,149,2015-11-27,1,2972
55,15,161,2015-07-31,1,1103
56,31,85,2016-05-24,2,1396
57,40,237,2015-10-21,3,2746
58,91,240,2016-06-13,4,2328
59,97,65,2016-03-09,4,1680
60,57,190,2015-08-09,1,2726
61,4,254,2016-11-21,2,2999
62,29,253,2016-08-18,5,2960
63,36,293,2016-07-14,2,1039
64,58,118,2015-06-19,1,1680
65,49,258,2015-06-03,5,1802
66,26,274,2016-03-15,3,2507
67,9,77,2015-11-14,4,2112
68,94,53,2015-09-24,2,1722
69,29,226,2016-10-20,1,2694
70,3,162,2016-09-09,3,2039
71,42,29,2015-05-26,2,2477
72,7,62,2016-03-19,3,2871
73,87,296,2015-10-26,2,1118
74,94,118,2015-03-18,4,2800
75,19,44,2015-10-25,5,1271
76,51,164,2016-10-09,5,2620
77,40,205,2016-05-18,2,2486
78,52,70,2015-12-23,1,2463
79,30,222,2017-02-01,5,1704
80,88,175,2016-07-05,1,1861
81,60,241,2016-05-22,2,1222
82,23,221,2015-12-14,3,2299
84,61,217,2015-04-19,4,1666
85,90,86,2017-02-05,3,2428
86,99,211,2015-06-26,5,2732
87,20,138,2016-06-10,2,1030
89,92,183,2015-11-19,5,1666
90,48,288,2015-03-17,4,1962
91,42,81,2015-04-20,4,1838
92,10,80,2015-05-13,1,2563
93,57,19,2015-06-25,5,2568
94,47,139,2015-06-19,5,1105
95,97,118,2016-03-06,1,2224
96,73,97,2016-12-14,1,1474
97,54,271,2016-06-14,5,1151
98,65,172,2016-09-18,1,1218
99,29,107,2015-07-03,4,1268
100,29,138,2016-09-04,2,2547
101,70,225,2016-06-24,1,1246
102,58,70,2015-07-11,1,1183
103,72,26,2015-08-03,4,2604
104,85,272,2015-04-27,4,1295
105,44,246,2016-09-19,5,2738
106,65,45,2017-01-05,3,1620
107,54,254,2015-11-18,2,2888
108,43,90,2016-11-13,4,2786
109,5,165,2016-07-01,5,2189
110,83,140,2016-12-30,1,1538
111,90,273,2015-12-14,3,1400
112,78,145,2016-01-15,1,2442
113,45,188,2016-12-30,3,2889
114,2,87,2015-08-29,3,1662
115,16,35,2015-11-22,5,1502
116,84,129,2015-05-16,2,2199
117,82,111,2016-12-27,2,2390
118,2,234,2016-01-07,5,2353
119,55,278,2016-12-04,3,1244
120,40,153,2015-07-14,2,1370
121,29,106,2016-11-27,1,1802
122,1,247,2015-12-24,5,2510
123,10,280,2015-11-27,4,1827
124,1,26,2016-10-16,4,1553
125,48,35,2015-09-14,1,1752
126,46,56,2016-10-31,3,1426
127,30,15,2016-10-11,3,1764
128,55,249,2015-05-21,2,2254
129,54,122,2015-12-02,3,2239
130,46,273,2016-01-02,1,1129
131,51,172,2015-07-25,4,1199
132,5,113,2017-02-10,5,2391
133,12,240,2015-04-05,1,2820
134,73,32,2017-02-26,2,2195
135,77,146,2016-05-05,5,1945
136,38,147,2015-10-02,3,1275
137,45,162,2015-04-05,1,2360
138,5,192,2016-08-16,3,1280
139,56,88,2016-03-25,5,1463
140,2,206,2015-07-21,2,1514
141,11,19,2016-08-27,2,1387
142,40,294,2016-05-26,1,1515
143,59,277,2016-10-06,4,2348
144,48,170,2017-03-01,3,1569
145,58,185,2015-08-23,1,1244
146,38,102,2017-01-20,4,2034
147,58,28,2015-04-20,3,1779
148,48,133,2015-07-07,4,1005
149,32,183,2015-04-12,1,2139
150,56,40,2016-01-17,1,1736
151,80,273,2015-07-13,1,2528
152,45,135,2016-03-25,3,1666
153,45,110,2016-05-10,1,2669
155,65,194,2016-07-17,2,2889
156,94,41,2017-01-01,4,1373
157,53,291,2016-04-18,3,1982
158,80,207,2016-03-09,4,2663
159,8,285,2016-12-31,5,2116
160,26,101,2016-01-30,4,2971
161,50,245,2016-07-15,2,2602
162,6,93,2015-03-09,4,1469
163,17,225,2017-03-01,3,2648
